Index,Device,Time,Lon,Lat,Power Headroom
133,UE1,22-06-22 11:04:02.089,,,63
134,UE1,22-06-22 11:04:04.160,,,63
135,UE1,22-06-22 11:04:05.126,,,63
136,UE1,22-06-22 11:04:06.129,,,63
137,UE1,22-06-22 11:04:08.120,,,63
138,UE1,22-06-22 11:04:09.127,,,63
139,UE1,22-06-22 11:04:10.139,,,63
140,UE1,22-06-22 11:04:11.135,,,63
141,UE1,22-06-22 11:04:12.175,,,63
142,UE1,22-06-22 11:04:13.191,,,63
143,UE1,22-06-22 11:04:14.250,,,63
144,UE1,22-06-22 11:04:15.251,,,63
145,UE1,22-06-22 11:04:16.251,,,63
146,UE1,22-06-22 11:04:17.253,,,63
147,UE1,22-06-22 11:04:18.261,,,63
148,UE1,22-06-22 11:04:19.254,,,63
149,UE1,22-06-22 11:04:20.260,,,63
150,UE1,22-06-22 11:04:21.247,,,63
151,UE1,22-06-22 11:04:22.247,,,63
152,UE1,22-06-22 11:04:23.255,,,63
153,UE1,22-06-22 11:04:24.266,,,63
154,UE1,22-06-22 11:04:25.301,,,63
155,UE1,22-06-22 11:04:26.306,,,63
156,UE1,22-06-22 11:04:27.310,,,63
157,UE1,22-06-22 11:04:29.372,,,63
158,UE1,22-06-22 11:04:30.365,,,63
159,UE1,22-06-22 11:04:31.370,,,63
160,UE1,22-06-22 11:04:32.366,,,63
161,UE1,22-06-22 11:04:33.375,,,63
162,UE1,22-06-22 11:04:34.380,,,63
163,UE1,22-06-22 11:04:35.372,,,63
164,UE1,22-06-22 11:04:36.373,,,63
165,UE1,22-06-22 11:04:37.373,,,63
166,UE1,22-06-22 11:04:38.374,,,63
167,UE1,22-06-22 11:04:39.367,,,63
168,UE1,22-06-22 11:04:40.373,,,63
169,UE1,22-06-22 11:04:41.418,,,63
170,UE1,22-06-22 11:04:42.435,,,63
171,UE1,22-06-22 11:04:44.424,,,63
172,UE1,22-06-22 11:04:45.436,,,63
173,UE1,22-06-22 11:04:46.425,,,63
174,UE1,22-06-22 11:04:48.473,,,63
175,UE1,22-06-22 11:04:49.479,,,63
176,UE1,22-06-22 11:04:50.553,,,63
177,UE1,22-06-22 11:04:51.478,,,63
178,UE1,22-06-22 11:04:52.479,,,63
179,UE1,22-06-22 11:04:53.489,,,63
180,UE1,22-06-22 11:04:54.540,,,63
181,UE1,22-06-22 11:04:55.546,,,63
182,UE1,22-06-22 11:04:56.541,,,63
183,UE1,22-06-22 11:04:57.542,,,63
184,UE1,22-06-22 11:04:59.552,,,63
185,UE1,22-06-22 11:05:00.558,,,63
186,UE1,22-06-22 11:05:01.551,,,63
187,UE1,22-06-22 11:05:02.550,,,63
188,UE1,22-06-22 11:05:03.558,,,63
189,UE1,22-06-22 11:05:04.618,,,63
190,UE1,22-06-22 11:05:05.562,,,63
191,UE1,22-06-22 11:05:06.575,,,63
192,UE1,22-06-22 11:05:07.559,,,63
193,UE1,22-06-22 11:05:08.564,,,63
194,UE1,22-06-22 11:05:09.560,,,63
195,UE1,22-06-22 11:05:11.568,,,63
196,UE1,22-06-22 11:05:12.566,,,63
197,UE1,22-06-22 11:05:13.621,,,63
198,UE1,22-06-22 11:05:15.682,,,63
199,UE1,22-06-22 11:05:16.680,,,63
200,UE1,22-06-22 11:05:17.744,,,63
201,UE1,22-06-22 11:05:19.805,,,63
202,UE1,22-06-22 11:05:20.796,,,63
203,UE1,22-06-22 11:05:21.797,,,63
204,UE1,22-06-22 11:05:23.831,,,63
205,UE1,22-06-22 11:05:24.828,,,63
206,UE1,22-06-22 11:05:25.856,,,63
207,UE1,22-06-22 11:05:26.861,,,63
208,UE1,22-06-22 11:05:27.907,,,63
209,UE1,22-06-22 11:05:28.916,,,63
210,UE1,22-06-22 11:05:29.923,,,63
211,UE1,22-06-22 11:05:31.961,,,63
212,UE1,22-06-22 11:05:33.968,,,63
213,UE1,22-06-22 11:05:35.965,,,63
214,UE1,22-06-22 11:05:36.977,,,63
215,UE1,22-06-22 11:05:38.004,,,63
216,UE1,22-06-22 11:05:40.043,,,63
217,UE1,22-06-22 11:05:41.056,,,63
218,UE1,22-06-22 11:05:42.113,,,63
219,UE1,22-06-22 11:05:43.119,,,63
220,UE1,22-06-22 11:05:44.105,,,63
221,UE1,22-06-22 11:05:45.107,,,63
222,UE1,22-06-22 11:05:46.111,,,63
223,UE1,22-06-22 11:05:47.103,,,63
224,UE1,22-06-22 11:05:48.105,,,63
225,UE1,22-06-22 11:05:49.110,,,63
226,UE1,22-06-22 11:05:50.109,,,63
227,UE1,22-06-22 11:05:51.114,,,63
228,UE1,22-06-22 11:05:52.121,,,63
229,UE1,22-06-22 11:05:53.170,,,63
230,UE1,22-06-22 11:05:54.183,,,63
231,UE1,22-06-22 11:05:55.185,,,63
232,UE1,22-06-22 11:05:56.190,,,63
233,UE1,22-06-22 11:05:57.180,,,63
234,UE1,22-06-22 11:05:58.184,,,63
235,UE1,22-06-22 11:06:00.211,,,63
236,UE1,22-06-22 11:06:02.242,,,63
237,UE1,22-06-22 11:06:03.237,,,63
238,UE1,22-06-22 11:06:04.243,,,63
239,UE1,22-06-22 11:06:05.286,,,63
240,UE1,22-06-22 11:06:06.304,,,63
241,UE1,22-06-22 11:06:07.297,,,63
242,UE1,22-06-22 11:06:08.295,,,63
243,UE1,22-06-22 11:06:09.293,,,63
244,UE1,22-06-22 11:06:10.294,,,63
245,UE1,22-06-22 11:06:11.287,,,63
246,UE1,22-06-22 11:06:12.287,,,63
247,UE1,22-06-22 11:06:13.285,,,63
248,UE1,22-06-22 11:06:14.284,,,63
249,UE1,22-06-22 11:06:15.284,,,63
250,UE1,22-06-22 11:06:16.295,,,63
251,UE1,22-06-22 11:06:17.293,,,63
252,UE1,22-06-22 11:06:18.293,,,63
253,UE1,22-06-22 11:06:19.302,,,63
254,UE1,22-06-22 11:06:20.306,,,63
255,UE1,22-06-22 11:06:21.341,,,63
256,UE1,22-06-22 11:06:22.330,,,63
257,UE1,22-06-22 11:06:23.380,,,63
258,UE1,22-06-22 11:06:24.379,,,63
259,UE1,22-06-22 11:06:26.384,,,63
260,UE1,22-06-22 11:06:27.388,,,63
261,UE1,22-06-22 11:06:28.388,,,63
262,UE1,22-06-22 11:06:29.395,,,63
263,UE1,22-06-22 11:06:30.411,,,63
264,UE1,22-06-22 11:06:32.401,,,63
265,UE1,22-06-22 11:06:33.397,,,63
266,UE1,22-06-22 11:06:34.414,,,63
267,UE1,22-06-22 11:06:35.401,,,63
268,UE1,22-06-22 11:06:36.399,,,63
269,UE1,22-06-22 11:06:37.410,,,63
270,UE1,22-06-22 11:06:38.394,,,63
271,UE1,22-06-22 11:06:39.400,,,63
272,UE1,22-06-22 11:06:40.399,,,63
273,UE1,22-06-22 11:06:41.400,,,63
274,UE1,22-06-22 11:06:42.406,,,63
275,UE1,22-06-22 11:06:43.411,,,63
276,UE1,22-06-22 11:06:44.402,,,63
277,UE1,22-06-22 11:06:45.408,,,63
278,UE1,22-06-22 11:06:46.417,,,63
279,UE1,22-06-22 11:06:47.445,,,63
280,UE1,22-06-22 11:06:48.477,,,63
281,UE1,22-06-22 11:06:49.468,,,63
282,UE1,22-06-22 11:06:50.476,,,63
283,UE1,22-06-22 11:06:51.536,,,63
284,UE1,22-06-22 11:06:52.544,,,63
285,UE1,22-06-22 11:06:53.527,,,63
286,UE1,22-06-22 11:06:54.531,,,63
287,UE1,22-06-22 11:06:55.539,,,63
288,UE1,22-06-22 11:06:56.530,,,63
289,UE1,22-06-22 11:06:57.540,,,63
290,UE1,22-06-22 11:06:58.531,,,63
291,UE1,22-06-22 11:06:59.533,,,63
292,UE1,22-06-22 11:07:00.539,,,63
293,UE1,22-06-22 11:07:01.538,,,63
294,UE1,22-06-22 11:07:02.552,,,63
295,UE1,22-06-22 11:07:03.552,,,63
296,UE1,22-06-22 11:07:04.587,,,63
297,UE1,22-06-22 11:07:05.609,,,63
298,UE1,22-06-22 11:07:06.598,,,63
299,UE1,22-06-22 11:07:07.605,,,63
300,UE1,22-06-22 11:07:08.611,,,63
301,UE1,22-06-22 11:07:09.606,,,63
302,UE1,22-06-22 11:07:10.616,,,63
303,UE1,22-06-22 11:07:11.620,,,63
304,UE1,22-06-22 11:07:12.637,,,63
305,UE1,22-06-22 11:07:13.635,,,63
306,UE1,22-06-22 11:07:14.634,,,63
307,UE1,22-06-22 11:07:15.641,,,63
308,UE1,22-06-22 11:07:16.673,,,63
309,UE1,22-06-22 11:07:17.670,,,63
310,UE1,22-06-22 11:07:18.695,,,63
311,UE1,22-06-22 11:07:19.709,,,63
312,UE1,22-06-22 11:07:20.709,,,63
313,UE1,22-06-22 11:07:21.713,,,63
314,UE1,22-06-22 11:07:22.719,,,63
315,UE1,22-06-22 11:07:23.779,,,63
316,UE1,22-06-22 11:07:24.786,,,63
317,UE1,22-06-22 11:07:25.781,,,63
318,UE1,22-06-22 11:07:26.784,,,63
319,UE1,22-06-22 11:07:27.779,,,63
320,UE1,22-06-22 11:07:28.792,,,63
321,UE1,22-06-22 11:07:29.851,,,63
322,UE1,22-06-22 11:07:31.895,,,63
323,UE1,22-06-22 11:07:32.886,,,63
324,UE1,22-06-22 11:07:33.880,,,63
325,UE1,22-06-22 11:07:34.897,,,63
326,UE1,22-06-22 11:07:35.891,,,63
327,UE1,22-06-22 11:07:36.898,,,63
328,UE1,22-06-22 11:07:37.896,,,63
329,UE1,22-06-22 11:07:39.903,,,63
330,UE1,22-06-22 11:07:40.909,,,63
331,UE1,22-06-22 11:07:41.911,,,63
332,UE1,22-06-22 11:07:43.920,,,63
333,UE1,22-06-22 11:07:44.916,,,63
334,UE1,22-06-22 11:07:45.916,,,63
335,UE1,22-06-22 11:07:46.907,,,63
336,UE1,22-06-22 11:07:47.917,,,63
337,UE1,22-06-22 11:07:48.922,,,63
338,UE1,22-06-22 11:07:49.935,,,63
339,UE1,22-06-22 11:07:50.932,,,63
340,UE1,22-06-22 11:07:51.938,,,63
341,UE1,22-06-22 11:07:52.932,,,63
342,UE1,22-06-22 11:07:53.936,,,63
343,UE1,22-06-22 11:07:55.945,,,63
344,UE1,22-06-22 11:07:56.951,,,63
345,UE1,22-06-22 11:07:57.944,,,63
346,UE1,22-06-22 11:07:59.965,,,63
347,UE1,22-06-22 11:08:00.959,,,63
348,UE1,22-06-22 11:08:01.967,,,63
349,UE1,22-06-22 11:08:02.963,,,63
350,UE1,22-06-22 11:08:03.961,,,63
351,UE1,22-06-22 11:08:04.963,,,63
352,UE1,22-06-22 11:08:05.959,,,63
353,UE1,22-06-22 11:08:07.961,,,63
354,UE1,22-06-22 11:08:08.963,,,63
355,UE1,22-06-22 11:08:09.976,,,63
356,UE1,22-06-22 11:08:10.973,,,63
357,UE1,22-06-22 11:08:11.962,,,63
358,UE1,22-06-22 11:08:12.969,,,63
359,UE1,22-06-22 11:08:13.977,,,63
360,UE1,22-06-22 11:08:15.968,,,63
361,UE1,22-06-22 11:08:16.975,,,63
362,UE1,22-06-22 11:08:17.981,,,63
363,UE1,22-06-22 11:08:18.986,,,63
364,UE1,22-06-22 11:08:19.981,,,63
365,UE1,22-06-22 11:08:20.983,,,63
366,UE1,22-06-22 11:08:21.995,,,63
367,UE1,22-06-22 11:08:23.052,,,63
368,UE1,22-06-22 11:08:24.056,,,63
369,UE1,22-06-22 11:08:25.048,,,63
370,UE1,22-06-22 11:08:26.048,,,63
371,UE1,22-06-22 11:08:27.050,,,63
372,UE1,22-06-22 11:08:28.049,,,63
373,UE1,22-06-22 11:08:29.051,,,63
374,UE1,22-06-22 11:08:30.051,,,63
375,UE1,22-06-22 11:08:32.060,,,63
376,UE1,22-06-22 11:08:33.056,,,63
377,UE1,22-06-22 11:08:34.066,,,63
378,UE1,22-06-22 11:08:36.065,,,63
379,UE1,22-06-22 11:08:37.062,,,63
380,UE1,22-06-22 11:08:38.077,,,63
381,UE1,22-06-22 11:08:39.075,,,63
382,UE1,22-06-22 11:08:40.111,,,63
383,UE1,22-06-22 11:08:41.132,,,63
384,UE1,22-06-22 11:08:42.138,,,63
385,UE1,22-06-22 11:08:43.149,,,63
386,UE1,22-06-22 11:08:44.218,,,63
387,UE1,22-06-22 11:08:45.246,,,63
388,UE1,22-06-22 11:08:46.270,,,63
389,UE1,22-06-22 11:08:47.275,,,63
390,UE1,22-06-22 11:08:48.273,,,63
391,UE1,22-06-22 11:08:49.289,,,63
392,UE1,22-06-22 11:08:50.311,,,63
393,UE1,22-06-22 11:08:51.332,,,63
394,UE1,22-06-22 11:08:52.345,,,63
395,UE1,22-06-22 11:08:53.347,,,63
396,UE1,22-06-22 11:08:54.344,,,63
397,UE1,22-06-22 11:08:56.344,,,63
398,UE1,22-06-22 11:08:57.340,,,63
399,UE1,22-06-22 11:08:58.354,,,63
400,UE1,22-06-22 11:09:00.354,,,63
401,UE1,22-06-22 11:09:01.347,,,63
402,UE1,22-06-22 11:09:02.351,,,63
403,UE1,22-06-22 11:09:04.355,,,63
404,UE1,22-06-22 11:09:05.355,,,63
405,UE1,22-06-22 11:09:06.374,,,63
406,UE1,22-06-22 11:09:07.369,,,63
407,UE1,22-06-22 11:09:08.381,,,63
408,UE1,22-06-22 11:09:09.371,,,63
409,UE1,22-06-22 11:09:10.394,,,63
410,UE1,22-06-22 11:09:11.402,,,63
411,UE1,22-06-22 11:09:12.416,,,63
412,UE1,22-06-22 11:09:13.433,,,63
413,UE1,22-06-22 11:09:14.490,,,63
414,UE1,22-06-22 11:09:15.500,,,63
415,UE1,22-06-22 11:09:16.492,,,63
416,UE1,22-06-22 11:09:17.497,,,63
417,UE1,22-06-22 11:09:18.505,,,63
418,UE1,22-06-22 11:09:19.505,,,63
419,UE1,22-06-22 11:09:20.509,,,63
420,UE1,22-06-22 11:09:21.519,,,63
421,UE1,22-06-22 11:09:22.507,,,63
422,UE1,22-06-22 11:09:23.511,,,63
423,UE1,22-06-22 11:09:24.523,,,63
424,UE1,22-06-22 11:09:25.559,,,63
425,UE1,22-06-22 11:09:26.585,,,63
426,UE1,22-06-22 11:09:27.576,,,63
427,UE1,22-06-22 11:09:28.583,,,63
428,UE1,22-06-22 11:09:29.590,,,63
429,UE1,22-06-22 11:09:30.602,,,63
430,UE1,22-06-22 11:09:31.647,,,63
431,UE1,22-06-22 11:09:32.656,,,63
432,UE1,22-06-22 11:09:33.665,,,63
433,UE1,22-06-22 11:09:34.665,,,63
434,UE1,22-06-22 11:09:35.668,,,63
435,UE1,22-06-22 11:09:36.674,,,63
436,UE1,22-06-22 11:09:37.664,,,63
437,UE1,22-06-22 11:09:38.665,,,63
438,UE1,22-06-22 11:09:40.729,,,63
439,UE1,22-06-22 11:09:41.733,,,63
440,UE1,22-06-22 11:09:42.730,,,63
441,UE1,22-06-22 11:09:43.736,,,63
442,UE1,22-06-22 11:09:44.741,,,63
443,UE1,22-06-22 11:09:45.736,,,63
444,UE1,22-06-22 11:09:46.729,,,63
445,UE1,22-06-22 11:09:47.737,,,63
446,UE1,22-06-22 11:09:48.739,,,63
447,UE1,22-06-22 11:09:49.747,,,63
448,UE1,22-06-22 11:09:50.752,,,63
449,UE1,22-06-22 11:09:51.747,,,63
450,UE1,22-06-22 11:09:52.753,,,63
451,UE1,22-06-22 11:09:53.752,,,63
452,UE1,22-06-22 11:09:54.759,,,63
453,UE1,22-06-22 11:09:55.756,,,63
454,UE1,22-06-22 11:09:56.760,,,63
455,UE1,22-06-22 11:09:57.765,,,63
456,UE1,22-06-22 11:09:58.769,,,63
457,UE1,22-06-22 11:09:59.766,,,63
458,UE1,22-06-22 11:10:00.767,,,63
459,UE1,22-06-22 11:10:01.775,,,63
460,UE1,22-06-22 11:10:02.766,,,63
461,UE1,22-06-22 11:10:03.764,,,63
462,UE1,22-06-22 11:10:04.770,,,63
463,UE1,22-06-22 11:10:05.781,,,63
464,UE1,22-06-22 11:10:06.773,,,63
465,UE1,22-06-22 11:10:07.795,,,63
466,UE1,22-06-22 11:10:08.788,,,63
467,UE1,22-06-22 11:10:09.786,,,63
468,UE1,22-06-22 11:10:10.786,,,63
469,UE1,22-06-22 11:10:11.791,,,63
470,UE1,22-06-22 11:10:12.796,,,63
471,UE1,22-06-22 11:10:13.812,,,63
472,UE1,22-06-22 11:10:14.816,,,63
473,UE1,22-06-22 11:10:15.864,,,63
474,UE1,22-06-22 11:10:16.876,,,63
475,UE1,22-06-22 11:10:17.868,,,63
476,UE1,22-06-22 11:10:18.862,,,63
477,UE1,22-06-22 11:10:19.876,,,63
478,UE1,22-06-22 11:10:20.919,,,63
479,UE1,22-06-22 11:10:21.926,,,63
480,UE1,22-06-22 11:10:22.949,,,63
481,UE1,22-06-22 11:10:23.961,,,63
482,UE1,22-06-22 11:10:24.982,,,63
483,UE1,22-06-22 11:10:25.980,,,63
484,UE1,22-06-22 11:10:26.982,,,63
485,UE1,22-06-22 11:10:27.984,,,63
486,UE1,22-06-22 11:10:28.983,,,63
487,UE1,22-06-22 11:10:29.981,,,63
488,UE1,22-06-22 11:10:30.989,,,63
489,UE1,22-06-22 11:10:31.979,,,63
490,UE1,22-06-22 11:10:32.983,,,63
491,UE1,22-06-22 11:10:33.988,,,63
492,UE1,22-06-22 11:10:35.046,,,63
493,UE1,22-06-22 11:10:36.044,,,63
494,UE1,22-06-22 11:10:37.041,,,63
495,UE1,22-06-22 11:10:39.061,,,63
496,UE1,22-06-22 11:10:40.118,,,63
497,UE1,22-06-22 11:10:41.127,,,63
498,UE1,22-06-22 11:10:42.137,,,63
499,UE1,22-06-22 11:10:43.129,,,63
500,UE1,22-06-22 11:10:44.125,,,63
501,UE1,22-06-22 11:10:45.140,,,63
502,UE1,22-06-22 11:10:46.147,,,63
503,UE1,22-06-22 11:10:47.131,,,63
504,UE1,22-06-22 11:10:48.141,,,63
505,UE1,22-06-22 11:10:50.148,,,63
506,UE1,22-06-22 11:10:52.162,,,63
507,UE1,22-06-22 11:10:54.153,,,63
508,UE1,22-06-22 11:10:55.166,,,63
509,UE1,22-06-22 11:10:56.170,,,63
510,UE1,22-06-22 11:10:58.231,,,63
511,UE1,22-06-22 11:10:59.235,,,63
512,UE1,22-06-22 11:11:00.236,,,63
513,UE1,22-06-22 11:11:02.245,,,63
514,UE1,22-06-22 11:11:03.242,,,63
515,UE1,22-06-22 11:11:04.253,,,63
516,UE1,22-06-22 11:11:05.240,,,63
517,UE1,22-06-22 11:11:06.251,,,61
518,UE1,22-06-22 11:11:07.260,,,63
519,UE1,22-06-22 11:11:08.256,,,63
520,UE1,22-06-22 11:11:10.267,,,62
521,UE1,22-06-22 11:11:11.308,,,63
522,UE1,22-06-22 11:11:12.330,,,63
523,UE1,22-06-22 11:11:14.390,,,59
524,UE1,22-06-22 11:11:15.390,,,63
525,UE1,22-06-22 11:11:16.395,,,63
526,UE1,22-06-22 11:11:17.403,,,63
527,UE1,22-06-22 11:11:18.409,,,63
528,UE1,22-06-22 11:11:19.412,,,63
529,UE1,22-06-22 11:11:21.412,,,63
530,UE1,22-06-22 11:11:22.422,,,63
531,UE1,22-06-22 11:11:23.421,,,63
532,UE1,22-06-22 11:11:24.418,,,63
533,UE1,22-06-22 11:11:26.435,,,63
534,UE1,22-06-22 11:11:27.439,,,63
535,UE1,22-06-22 11:11:28.436,,,63
536,UE1,22-06-22 11:11:29.447,,,63
537,UE1,22-06-22 11:11:30.455,,,63
538,UE1,22-06-22 11:11:31.452,,,63
539,UE1,22-06-22 11:11:32.456,,,63
540,UE1,22-06-22 11:11:34.477,,,63
541,UE1,22-06-22 11:11:35.495,,,63
542,UE1,22-06-22 11:11:36.487,,,63
543,UE1,22-06-22 11:11:38.521,,,63
544,UE1,22-06-22 11:11:39.533,,,63
545,UE1,22-06-22 11:11:40.541,,,63
546,UE1,22-06-22 11:11:41.546,,,63
547,UE1,22-06-22 11:11:42.556,,,63
548,UE1,22-06-22 11:11:43.587,,,63
549,UE1,22-06-22 11:11:44.581,,,63
550,UE1,22-06-22 11:11:45.616,,,63
551,UE1,22-06-22 11:11:46.629,,,63
552,UE1,22-06-22 11:11:47.619,,,63
553,UE1,22-06-22 11:11:48.627,,,63
554,UE1,22-06-22 11:11:49.626,,,63
555,UE1,22-06-22 11:11:50.638,,,63
556,UE1,22-06-22 11:11:51.636,,,63
557,UE1,22-06-22 11:11:52.625,,,63
558,UE1,22-06-22 11:11:53.628,,,63
559,UE1,22-06-22 11:11:54.633,,,63
560,UE1,22-06-22 11:11:55.636,,,63
561,UE1,22-06-22 11:11:56.644,,,63
562,UE1,22-06-22 11:11:57.641,,,63
563,UE1,22-06-22 11:11:58.646,,,63
564,UE1,22-06-22 11:12:00.650,,,63
565,UE1,22-06-22 11:12:01.665,,,63
566,UE1,22-06-22 11:12:02.660,,,63
567,UE1,22-06-22 11:12:04.672,,,63
568,UE1,22-06-22 11:12:05.682,,,63
569,UE1,22-06-22 11:12:06.686,,,63
570,UE1,22-06-22 11:12:07.684,,,63
571,UE1,22-06-22 11:12:08.694,,,63
572,UE1,22-06-22 11:12:09.686,,,63
573,UE1,22-06-22 11:12:10.686,,,63
574,UE1,22-06-22 11:12:11.698,,,63
575,UE1,22-06-22 11:12:12.755,,,63
576,UE1,22-06-22 11:12:13.764,,,63
577,UE1,22-06-22 11:12:14.770,,,63
578,UE1,22-06-22 11:12:15.769,,,63
579,UE1,22-06-22 11:12:16.774,,,63
580,UE1,22-06-22 11:12:17.782,,,63
581,UE1,22-06-22 11:12:18.795,,,63
